up	down	left	right	up available	down available	left available	right available	angle to apple	reward
0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.17629756652772138	0.1
1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.2501268036297606	-0.2
0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.2501268036297606	-0.2
0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.1988926389169195	-0.2
0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.1564958158037148	-0.2
0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.1250634018148803	0.1
0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.09363098782604577	0.1
1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.1250634018148803	-1.0
0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	-0.07382923710203919	0.1
0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	-0.1250634018148803	-0.2
0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	-0.17629756652772138	0.1
0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	-0.2501268036297606	-0.2
0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	-0.2501268036297606	-0.2
1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.1988926389169195	-1.0
0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	-0.2
1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	-0.2
0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.03900934126223951	-1.0
0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.18953661619148593	-1.0
0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.3751902054446409	0.1
0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.40662261943347544	-0.2
0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.42642437015748197	-0.2
